Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Rect_L4.0mm_W2.0mm_P4.00mm,1,5.6nF,
"C2, C3",C_Disc_D4.0mm_W1.6mm_P3.0mm,2,22pF,
"C4, C5",C_Radial_D5.0mm_H11.0mm_P2.00mm,2,22uF,
"C6, C7, C8, C9",C_Disc_D4.3mm_W1.9mm_P5.00mm,4,100nF,
"CEN1, CEN2, L-IN1, L-O1, L_IN2, R-IN1, R-IN2, R-O1",Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical,8,AudioJack2_SwitchT,
"D1, D2",D_DO-41_SOD81_P7.62mm_Horizontal,2,1N5819,
"J1, J3",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Male,
"J2, J4",PinSocket_1x03_P2.54mm_Vertical,2,Conn_01x03_Female,
PWR1,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,180K,
"R10, R5",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,220K,
"R11, R4",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,113K,
"R12, R3",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,620K,
"R13, R2",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,102K,
"R14, R15, R16, R17, R18, R19, R20, R21",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,8,100K,
"R22, R23",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,1K,
"R6, R7, R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,4,110K,
"ST-IN1, ST-OUT1",FanPinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Male,
"U1, U2",DIP-8_W7.62mm_Socket,2,TL072,
